LATITUDE,LONGITUDE
40.6853995,-73.8294593
40.7419703,-73.9808593
40.7741682,-73.903095
40.6134447,-74.1010154
40.7947356,-73.9698722
40.6175896,-73.9638107
40.7468448,-73.8914308
40.6392748,-73.9074526
40.6049965,-73.9942667
40.7039893,-73.7985458
40.7211812,-73.9586497
40.8216382,-73.9390768
40.84013,-73.8802991
40.701403,-73.9185718
40.7033041,-73.783941
40.6810711,-73.9497151
40.5881398,-73.931783
40.7573878,-73.9822554
40.6826644,-73.8681391
40.7075195,-73.7640895
40.7553365,-73.8432452
40.8378498,-73.9363841
40.6660852,-73.8280776
40.5599067,-74.101737
40.7373607,-73.996839
40.7444983,-73.9811076
40.6553118,-73.9031775
40.678278,-73.9107549
40.7237466,-74.0061151
40.8712211,-73.8555729
40.7022869,-73.9828075
40.7054724,-73.9502377
40.6167989,-73.948845
40.6697253,-73.8609622
40.7334973,-73.8703694
40.5873051,-73.9603492
40.6716264,-73.9336335
40.8367396,-73.8671218
40.7408734,-73.9879831
40.7031519,-74.0144301
40.6817692,-73.9675328
40.6764962,-73.9136956
40.6106525,-73.9535426
40.6320133,-73.9056036
40.7043282,-73.7977044
40.7485397,-73.9731412
40.7045516,-73.8733544
40.732384,-74.0103519
40.8442545,-73.8578145
40.5591268,-74.1694734
40.7157799,-73.9463052
40.8913379,-73.8585167
40.7223002,-73.9971211
40.6894687,-73.9691048
40.7529363,-73.9854869
40.5956614,-73.9931332
40.7302774,-73.743984
40.7079562,-73.8371456
40.7502939,-73.9948425
40.6604367,-73.9454127
40.6339615,-74.0147538
40.6718921,-73.8958679
40.9059675,-73.904339
40.71728,-73.9954294
40.8489388,-73.9370711
40.6801952,-73.955488
40.6652273,-73.923183
40.8897408,-73.8459049
40.6811367,-73.9556676
40.8636687,-73.8974946
40.7692723,-73.9810212
40.8812552,-73.8842861
40.5440767,-74.1580762
40.7536142,-73.9476066
40.7521904,-73.9934636
40.6485398,-73.9242472
40.619874,-74.0898586
40.7468899,-73.8346973
40.7547072,-73.9916334
40.5860252,-73.9510684
40.6948846,-73.9851426
40.8808185,-73.9084001
40.7303024,-73.8108998
40.7238888,-73.8465445
40.7392333,-73.9781934
40.8480389,-73.9328502
40.7410552,-73.9978601
40.699531,-73.9110367
40.7416258,-73.8791769
40.7733356,-73.9550538
40.8113066,-73.8050847
40.7267009,-73.9003282
40.6409241,-73.9005032
40.6517331,-73.930381
40.6515907,-73.9811087
40.6974067,-73.936006
40.5810375,-73.9441168
40.6521097,-74.0173814
40.7133723,-73.9348039
40.637893,-73.998375
40.69603,-73.9435263
40.8474188,-73.8447921
40.6922854,-73.9369052
40.6508164,-73.837804
40.7380748,-73.853718
40.7285596,-73.8285226
40.7665589,-73.9629283
40.7595273,-73.999242
40.5996336,-73.9339535
40.7039152,-73.9481686
40.6953901,-73.8988857
40.7379231,-73.7055743
40.7434293,-73.9961278
40.6827016,-73.9290074
40.7408037,-73.9593232
40.6771481,-73.8254065
40.7005922,-73.9502882
40.7044119,-73.9865687
40.5268949,-74.1672766
40.7683247,-73.7913763
40.7526726,-73.9364005
40.6481811,-73.9299991
40.7235066,-73.8248954
40.5967449,-73.9852652
40.7026755,-73.9339524
40.7624846,-73.9073102
40.8482887,-73.9161727
40.7502921,-73.8700805
40.6717735,-73.9364055
40.8217066,-73.9567952
40.7563194,-73.8336777
40.8240317,-73.9447582
40.7611476,-73.9795146
40.6371956,-74.0077862
40.6817416,-73.958584
40.6811472,-73.7922872
40.7348379,-73.9907554
40.617125,-73.9852319
40.6931192,-73.968811
40.8435185,-73.8329392
40.7004732,-73.8896922
40.7591644,-73.9883913
40.7131061,-73.9514656
40.6687978,-73.9311201
40.7585332,-73.9888427
40.6902385,-73.9943603
40.7616074,-73.9903149
40.6580097,-73.9207657
40.6670937,-73.7637567
40.7468662,-73.8771572
40.6572811,-73.9473543
40.6733857,-73.8767986
40.657184,-73.7659615
40.7136357,-73.7797267
40.7000815,-73.8995025
40.7586961,-73.9342506
40.7248459,-73.7504195
40.6347919,-73.8969598
40.8201339,-73.9130649
40.7572855,-73.9781153
40.7024487,-73.9009848
40.7564889,-73.9977585
